127.0.0.1 - - [24/May/2018:19:05:57 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/May/2018:19:05:58 +0200] "GET /ui/ HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [24/May/2018:19:08:56 +0200] "GET /ui HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2018:19:08:56 +0200] "GET /ui/ HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [24/May/2018:19:11:24 +0200] "GET /ui/ HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [24/May/2018:19:11:24 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/May/2018:19:21:17 +0200] "GET /ui/ HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [24/May/2018:19:21:18 +0200] "GET /ui/ HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [24/May/2018:19:24:44 +0200] "GET /ui/ HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [24/May/2018:19:24:49 +0200] "GET /ui/main HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [24/May/2018:19:24:53 +0200] "GET /ui/main HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [24/May/2018:19:25:24 +0200] "GET /ui/main HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [24/May/2018:19:28:36 +0200] "GET /ui/static.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:30:11 +0200] "GET /ui/static.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:30:12 +0200] "GET /ui/static.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:30:13 +0200] "GET /ui/static.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:30:22 +0200] "GET /ui/static/static.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:31:14 +0200] "GET /ui/static/static.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:31:21 +0200] "GET /ui/static.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:31:28 +0200] "GET /ui/static.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:31:29 +0200] "GET /ui/static.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:44:50 +0200] "GET /ui/ HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [24/May/2018:19:44:50 +0200] "GET /ui/helloworld.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:44:54 +0200] "GET /ui/ HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [24/May/2018:19:44:54 +0200] "GET /ui/helloworld.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:45:22 +0200] "GET /ui/ HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [24/May/2018:19:45:22 +0200] "GET /ui/helloworld.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:45:34 +0200] "GET /ui/ HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/May/2018:19:45:34 +0200] "GET /helloworld.png HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/May/2018:19:45:56 +0200] "GET /ui/helloworld.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:46:32 +0200] "GET /ui/resources/helloworld.png HTTP/1.1" 200 10894
0:0:0:0:0:0:0:1 - - [24/May/2018:19:46:44 +0200] "GET /ui/resources/static.html HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:15 +0200] "GET /ui/helloworld.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:18 +0200] "GET /ui/ HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:18 +0200] "GET /resources/helloworld.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:19 +0200] "GET /ui/ HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:19 +0200] "GET /resources/helloworld.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:20 +0200] "GET /ui/ HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:20 +0200] "GET /resources/helloworld.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:59 +0200] "GET /ui/ HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:59 +0200] "GET /resources/helloworld.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:59 +0200] "GET /ui/ HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/May/2018:19:47:59 +0200] "GET /resources/helloworld.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [24/May/2018:19:48:19 +0200] "GET /ui/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [24/May/2018:19:48:19 +0200] "GET /ui/resources/helloworld.png HTTP/1.1" 304 -
